file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,5
style.css,2,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,32
style.css,3,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,23
style.css,4,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,5,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,6,css,74746bc0,Ishaan Kor,2025-01-11,16:35:16,-08:00,2025-01-11T16:35:16-08:00,0,5
style.css,7,css,74746bc0,Ishaan Kor,2025-01-11,16:35:16,-08:00,2025-01-11T16:35:16-08:00,0,44
style.css,8,css,74746bc0,Ishaan Kor,2025-01-11,16:35:16,-08:00,2025-01-11T16:35:16-08:00,0,43
style.css,9,css,74746bc0,Ishaan Kor,2025-01-11,16:35:16,-08:00,2025-01-11T16:35:16-08:00,0,1
style.css,10,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,33
style.css,11,css,74746bc0,Ishaan Kor,2025-01-11,16:35:16,-08:00,2025-01-11T16:35:16-08:00,0,24
style.css,12,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,16
style.css,13,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,19
style.css,14,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,11
style.css,15,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,0
style.css,16,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,14
style.css,17,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,21
style.css,18,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,17
style.css,19,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,18
style.css,20,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,9
style.css,21,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,11
style.css,22,css,65cff7d8,Ishaan Kor,2025-01-24,17:11:11,-08:00,2025-01-24T17:11:11-08:00,0,23
style.css,23,css,65cff7d8,Ishaan Kor,2025-01-24,17:11:11,-08:00,2025-01-24T17:11:11-08:00,0,0
style.css,24,css,65cff7d8,Ishaan Kor,2025-01-24,17:11:11,-08:00,2025-01-24T17:11:11-08:00,0,0
style.css,25,css,65cff7d8,Ishaan Kor,2025-01-24,17:11:11,-08:00,2025-01-24T17:11:11-08:00,0,21
style.css,26,css,65cff7d8,Ishaan Kor,2025-01-24,17:11:11,-08:00,2025-01-24T17:11:11-08:00,0,24
style.css,27,css,0c833c89,Ishaan Kor,2025-01-24,17:06:39,-08:00,2025-01-24T17:06:39-08:00,0,0
style.css,28,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,29,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,23
style.css,30,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,16
style.css,31,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,18
style.css,32,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,33,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,34,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,3
style.css,35,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,15
style.css,36,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,17
style.css,37,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,20
style.css,38,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
