file,line,type,commit,author,date,time,timezone,datetime,depth,length,message
.github/workflows/nextjs.yml,1,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,2,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,3,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,4,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,5,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,6,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,7,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
.github/workflows/nextjs.yml,8,yml,08056ab,Ishaan Kor,2026-07-30,21:37:05,-07:00,2026-07-29T21:37:05-07:00,2,30,"fix: fetch full git history in deploy workflow so loc.csv has all historical commits"
components/meta/CodebaseEvolutionSuite.tsx,1,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,2,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,3,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,4,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,5,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,6,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,7,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,8,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,9,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,10,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,11,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,12,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,13,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,14,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,15,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
components/meta/CodebaseEvolutionSuite.tsx,16,tsx,7a7b577,Ishaan Kor,2026-07-30,21:20:34,-07:00,2026-07-29T21:20:34-07:00,2,30,"refactor: update codebase evolution visualization and streamline line count generation script"
